fipscode,level,precinctsreportingpct,last,votepct
05031,FIPSCode,1.0,Clinton,0.296236
05031,FIPSCode,1.0,Johnson,0.028983
05031,FIPSCode,1.0,McMullin,0.012369
05031,FIPSCode,1.0,Stein,0.008546
05031,FIPSCode,1.0,Hedges,0.003907
05031,FIPSCode,1.0,Castle,0.003767
05031,FIPSCode,1.0,Kahn,0.002671
05033,FIPSCode,1.0,Trump,0.743252
05033,FIPSCode,1.0,Clinton,0.199911
05033,FIPSCode,1.0,Johnson,0.02588
05033,FIPSCode,1.0,McMullin,0.011047
05033,FIPSCode,1.0,Stein,0.007706
05033,FIPSCode,1.0,Hedges,0.005301
05033,FIPSCode,1.0,Castle,0.003563
05033,FIPSCode,1.0,Kahn,0.003341
05035,FIPSCode,1.0,Trump,0.43656
05035,FIPSCode,1.0,Clinton,0.527207
05035,FIPSCode,1.0,Johnson,0.015171
05035,FIPSCode,1.0,McMullin,0.006081
05035,FIPSCode,1.0,Stein,0.006018
05035,FIPSCode,1.0,Castle,0.003636
05035,FIPSCode,1.0,Kahn,0.003009
05035,FIPSCode,1.0,Hedges,0.002319
05037,FIPSCode,1.0,Trump,0.666861
05037,FIPSCode,1.0,Clinton,0.290806
05037,FIPSCode,1.0,Johnson,0.015275
05037,FIPSCode,1.0,Hedges,0.007856
05037,FIPSCode,1.0,Castle,0.006401
05037,FIPSCode,1.0,McMullin,0.004655
05037,FIPSCode,1.0,Kahn,0.004655
05037,FIPSCode,1.0,Stein,0.003491
05039,FIPSCode,1.0,Trump,0.544569
05039,FIPSCode,1.0,Clinton,0.420426
05039,FIPSCode,1.0,McMullin,0.010105
05039,FIPSCode,1.0,Johnson,0.009383
05039,FIPSCode,1.0,Hedges,0.004691
05039,FIPSCode,1.0,Stein,0.004331
05039,FIPSCode,1.0,Kahn,0.003609
05039,FIPSCode,1.0,Castle,0.002887
05041,FIPSCode,1.0,Trump,0.450787
05041,FIPSCode,1.0,Clinton,0.523373
05041,FIPSCode,1.0,Johnson,0.010336
05041,FIPSCode,1.0,McMullin,0.006108
05041,FIPSCode,1.0,Kahn,0.003759
05041,FIPSCode,1.0,Hedges,0.002819
05041,FIPSCode,1.0,Castle,0.001879
05041,FIPSCode,1.0,Stein,0.00094
05043,FIPSCode,1.0,Trump,0.601668
05043,FIPSCode,1.0,Clinton,0.358605
05043,FIPSCode,1.0,Johnson,0.016831
